K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.010586,0.6069,0.5,8.7627,-0.068286,-0.086309,1.0505,0.6069,0.5,8.7627,0.0076416,0.00095451,0.00077411,0.0054408,0.0015099,0.0080906,,0.169376,0.01238576
0.011162,0.61755,0.5,8.7627,-0.069315,-0.084576,1.0489,0.61755,0.5,8.7627,0.0080265,0.00089484,0.00076004,0.0055954,0.0015879,0.0087028,,0.178592,0.01216064
0.011769,0.6277,0.5,8.7627,-0.070084,-0.082598,1.0462,0.6277,0.5,8.7627,0.0084674,0.0010219,0.00077783,0.0056342,0.0016013,0.0094371,,0.188304,0.01244528
0.012579,0.63738,0.5,8.7627,-0.070895,-0.078761,1.0425,0.63738,0.5,8.7627,0.0088535,0.0012477,0.00072419,0.0058263,0.0015734,0.010479,,0.201264,0.01158704
0.013142,0.64661,0.5,8.7627,-0.071586,-0.073922,1.0377,0.64661,0.5,8.7627,0.0091047,0.0014406,0.0008069,0.0061655,0.0015027,0.011014,,0.210272,0.0129104
0.0134,0.65542,0.5,8.7627,-0.072144,-0.068031,1.0339,0.65542,0.5,8.7627,0.0092532,0.0016028,0.00096275,0.0064127,0.0013688,0.011134,,0.2144,0.015404
0.013617,0.66381,0.5,8.7627,-0.072661,-0.062411,1.0311,0.66381,0.5,8.7627,0.00936,0.0017488,0.00085574,0.006463,0.0012449,0.01141,,0.217872,0.01369184
0.013718,0.67207,0.5,8.7627,-0.073011,-0.057291,1.0286,0.67207,0.5,8.7627,0.0093928,0.0019074,0.00060454,0.0064295,0.0011535,0.011614,,0.219488,0.00967264
0.013884,0.68032,0.5,8.7627,-0.073108,-0.05298,1.0265,0.68032,0.5,8.7627,0.0093252,0.0021716,0.00044833,0.0066919,0.0010698,0.011752,,0.222144,0.00717328
0.013987,0.68858,0.5,8.7627,-0.072926,-0.050105,1.0236,0.68858,0.5,8.7627,0.0092943,0.0025214,0.0003931,0.0070687,0.00087649,0.011612,,0.223792,0.0062896
0.014021,0.69683,0.5,8.7627,-0.072412,-0.047021,1.0201,0.69683,0.5,8.7627,0.0094254,0.0028243,0.0004244,0.0073327,0.00076727,0.011284,,0.224336,0.0067904
0.014255,0.70509,0.5,8.7627,-0.071475,-0.043304,1.0171,0.70509,0.5,8.7627,0.0096941,0.0031299,0.00042307,0.0076826,0.0008032,0.011132,,0.22808,0.00676912
0.014751,0.71335,0.5,8.7627,-0.070149,-0.039222,1.0143,0.71335,0.5,8.7627,0.010083,0.0034431,0.0003728,0.0081982,0.00092234,0.011221,,0.236016,0.0059648
0.015322,0.7216,0.5,8.7627,-0.068723,-0.035117,1.0117,0.7216,0.5,8.7627,0.010567,0.003736,0.00043864,0.0087522,0.0011242,0.011324,,0.245152,0.00701824
0.015883,0.72986,0.5,8.7627,-0.067389,-0.031667,1.0105,0.72986,0.5,8.7627,0.01105,0.0040349,0.00052241,0.009252,0.0012789,0.011464,,0.254128,0.00835856
0.016485,0.73811,0.5,8.7627,-0.065906,-0.028921,1.0104,0.73811,0.5,8.7627,0.01147,0.004231,0.00064715,0.0098221,0.0014001,0.011679,,0.26376,0.0103544
0.017074,0.74637,0.5,8.7627,-0.063901,-0.026109,1.0087,0.74637,0.5,8.7627,0.011779,0.0042697,0.00093892,0.010415,0.001577,0.011954,,0.273184,0.01502272
0.017578,0.75463,0.5,8.7627,-0.061285,-0.023005,1.0063,0.75463,0.5,8.7627,0.011982,0.0043578,0.0012868,0.010859,0.0017813,0.012315,,0.281248,0.0205888
0.018057,0.76288,0.5,8.7627,-0.05812,-0.020336,1.0044,0.76288,0.5,8.7627,0.012192,0.0046525,0.0016912,0.011275,0.0018916,0.012646,,0.288912,0.0270592
0.018683,0.77114,0.5,8.7627,-0.054538,-0.018009,1.003,0.77114,0.5,8.7627,0.012508,0.0050769,0.0022254,0.011919,0.0019353,0.012941,,0.298928,0.0356064
0.019472,0.7794,0.5,8.7627,-0.050855,-0.015573,1.0015,0.7794,0.5,8.7627,0.012966,0.0055256,0.0027591,0.012849,0.0019813,0.013129,,0.311552,0.0441456
0.020382,0.78765,0.5,8.7627,-0.047319,-0.013331,0.99889,0.78765,0.5,8.7627,0.01355,0.0058473,0.0032072,0.013755,0.0020427,0.013459,,0.326112,0.0513152
0.021276,0.79591,0.5,8.7627,-0.043884,-0.011882,0.99535,0.79591,0.5,8.7627,0.014127,0.0060139,0.0036978,0.014431,0.002216,0.013994,,0.340416,0.0591648
0.022132,0.80416,0.5,8.7627,-0.040617,-0.011026,0.99127,0.80416,0.5,8.7627,0.01457,0.0062304,0.0041939,0.015061,0.0025084,0.014633,,0.354112,0.0671024
0.023074,0.81242,0.5,8.7627,-0.037819,-0.010401,0.98682,0.81242,0.5,8.7627,0.014876,0.0064518,0.0046133,0.015635,0.0029813,0.015636,,0.369184,0.0738128
0.023966,0.82068,0.5,8.7627,-0.035403,-0.0094354,0.98187,0.82068,0.5,8.7627,0.01506,0.0064976,0.0049923,0.015882,0.0034798,0.016989,,0.383456,0.0798768
0.025058,0.82893,0.5,8.7627,-0.032837,-0.0077351,0.97587,0.82893,0.5,8.7627,0.015213,0.0065246,0.0054345,0.016066,0.0038585,0.018838,,0.400928,0.086952
0.003918,0.030909,0.5,8.7768,0.00059462,0.0099889,0.86055,0.030909,0.5,8.7768,0.00031345,-1.17E-05,-0.0003611,0.0026702,-0.00057189,0.0048523,,0.062688,-0.0057776
0.004854,0.066184,0.5,8.7768,0.0001408,0.008893,0.98198,0.066184,0.5,8.7768,0.00077747,7.52E-05,-0.00069866,0.0031657,-0.00060363,0.0057648,,0.077664,-0.01117856
0.0042063,0.10006,0.5,8.7768,-0.0038186,0.0058355,1.0326,0.10006,0.5,8.7768,0.00096934,0.00015685,-0.0007115,0.0025023,-0.00034241,0.004941,,0.0673008,-0.011384
0.0032764,0.13258,0.5,8.7768,-0.010974,0.0031306,1.0724,0.13258,0.5,8.7768,0.00091797,0.00016449,-0.00051731,0.0017616,-0.00028484,0.0038733,,0.0524224,-0.00827696
0.0028629,0.16379,0.5,8.7768,-0.017476,0.002708,1.0981,0.16379,0.5,8.7768,0.00083316,0.00016268,-0.00031501,0.0013791,-0.00045085,0.0035135,,0.0458064,-0.00504016
0.0028289,0.19372,0.5,8.7768,-0.020504,0.00077655,1.1077,0.19372,0.5,8.7768,0.00081163,0.00013851,-0.00026459,0.001037,-0.00042323,0.0038092,,0.0452624,-0.00423344
0.0026057,0.22242,0.5,8.7768,-0.021982,-0.0052114,1.121,0.22242,0.5,8.7768,0.00085995,0.00017025,-0.00037191,0.00080326,-0.00031018,0.0035483,,0.0416912,-0.00595056
0.0020886,0.24993,0.5,8.7768,-0.024998,-0.010558,1.1384,0.24993,0.5,8.7768,0.00090991,0.00016244,-0.00027138,0.00083146,-0.00030596,0.0024358,,0.0334176,-0.00434208
0.0021155,0.27629,0.5,8.7768,-0.028341,-0.015515,1.1396,0.27629,0.5,8.7768,0.00093788,0.00014723,3.02E-05,0.00099656,-0.00039022,0.0022966,,0.033848,0.000482688
0.0024397,0.30154,0.5,8.7768,-0.030509,-0.019318,1.1378,0.30154,0.5,8.7768,0.00098949,0.00020693,-9.13E-05,0.0011186,-0.00043624,0.0027714,,0.0390352,-0.001460496
0.002403,0.32572,0.5,8.7768,-0.032486,-0.023409,1.147,0.32572,0.5,8.7768,0.0010349,0.00028192,-0.00021282,0.0012712,-0.00051123,0.0024998,,0.038448,-0.00340512
0.0021887,0.34887,0.5,8.7768,-0.034884,-0.027661,1.1473,0.34887,0.5,8.7768,0.0010921,0.00034182,-5.92E-05,0.0013768,-0.00037751,0.0019086,,0.0350192,-0.000947168
0.0023593,0.37102,0.5,8.7768,-0.037266,-0.033126,1.1473,0.37102,0.5,8.7768,0.0012679,0.00039338,-8.94E-05,0.0013739,-0.00036341,0.0020767,,0.0377488,-0.001430752
0.002694,0.39221,0.5,8.7768,-0.039178,-0.038238,1.1491,0.39221,0.5,8.7768,0.0015602,0.00041066,0.00020501,0.0013851,-0.00014376,0.0024427,,0.043104,0.00328016
0.0032457,0.41248,0.5,8.7768,-0.041035,-0.043367,1.146,0.41248,0.5,8.7768,0.0018887,0.00045184,0.00071552,0.0014837,0.00039747,0.003119,,0.0519312,0.01144832
0.0039618,0.43187,0.5,8.7768,-0.042663,-0.049719,1.1335,0.43187,0.5,8.7768,0.002281,0.00061154,0.0011347,0.0017065,0.0004728,0.0039362,,0.0633888,0.0181552
0.0046328,0.4504,0.5,8.7768,-0.043273,-0.053559,1.1138,0.4504,0.5,8.7768,0.002701,0.0007042,0.0013343,0.0020487,0.00068001,0.004516,,0.0741248,0.0213488
0.0051118,0.46812,0.5,8.7768,-0.043681,-0.055733,1.1046,0.46812,0.5,8.7768,0.0031206,0.00064845,0.001444,0.002311,0.0007371,0.0047921,,0.0817888,0.023104
0.0055466,0.48504,0.5,8.7768,-0.044958,-0.058902,1.0912,0.48504,0.5,8.7768,0.0036322,0.0006352,0.0015236,0.0026887,0.00056615,0.0047724,,0.0887456,0.0243776
0.0064613,0.50122,0.5,8.7768,-0.046941,-0.063655,1.0796,0.50122,0.5,8.7768,0.0041956,0.00080632,0.0016855,0.0032974,0.000697,0.0054296,,0.1033808,0.026968
0.0072721,0.51667,0.5,8.7768,-0.049419,-0.069067,1.0708,0.51667,0.5,8.7768,0.0047832,0.0010199,0.0017975,0.0037008,0.0009004,0.0060602,,0.1163536,0.02876
0.0078417,0.53142,0.5,8.7768,-0.05208,-0.074126,1.066,0.53142,0.5,8.7768,0.0053872,0.0011497,0.0015954,0.0039424,0.0010647,0.0063539,,0.1254672,0.0255264
0.0083945,0.54551,0.5,8.7768,-0.05487,-0.078911,1.0634,0.54551,0.5,8.7768,0.0059197,0.0012967,0.0014647,0.0042752,0.0013082,0.0065941,,0.134312,0.0234352
0.0088863,0.55896,0.5,8.7768,-0.05801,-0.082974,1.0605,0.55896,0.5,8.7768,0.0063731,0.0014304,0.0013411,0.0046135,0.0015143,0.0067859,,0.1421808,0.0214576
0.0093882,0.5718,0.5,8.7768,-0.061128,-0.085261,1.057,0.5718,0.5,8.7768,0.0067743,0.001354,0.0011263,0.0049454,0.0015526,0.0070568,,0.1502112,0.0180208
0.0097601,0.58405,0.5,8.7768,-0.064061,-0.087337,1.0551,0.58405,0.5,8.7768,0.0071067,0.0011469,0.00091467,0.0051578,0.0013978,0.0072556,,0.1561616,0.01463472
0.010153,0.59575,0.5,8.7768,-0.066626,-0.087964,1.0532,0.59575,0.5,8.7768,0.0074196,0.0010569,0.00084445,0.005313,0.0013923,0.0075731,,0.162448,0.0135112
0.01071,0.6069,0.5,8.7768,-0.068376,-0.08602,1.0507,0.6069,0.5,8.7768,0.0077785,0.00099595,0.00078955,0.0055248,0.0015629,0.0081164,,0.17136,0.0126328
0.011283,0.61755,0.5,8.7768,-0.06934,-0.084447,1.049,0.61755,0.5,8.7768,0.0081869,0.00097755,0.00076129,0.005669,0.0016096,0.0087097,,0.180528,0.01218064
0.011905,0.6277,0.5,8.7768,-0.070028,-0.082417,1.0463,0.6277,0.5,8.7768,0.0086015,0.0011385,0.00078336,0.0057078,0.0015947,0.0094999,,0.19048,0.01253376
0.012689,0.63738,0.5,8.7768,-0.070782,-0.078383,1.0423,0.63738,0.5,8.7768,0.0089326,0.001346,0.00076583,0.0059045,0.0015918,0.01054,,0.203024,0.01225328
0.01317,0.64661,0.5,8.7768,-0.071495,-0.073358,1.0373,0.64661,0.5,8.7768,0.0091442,0.0015133,0.00086704,0.0061958,0.0015341,0.011001,,0.21072,0.01387264
0.013382,0.65542,0.5,8.7768,-0.072134,-0.067382,1.0338,0.65542,0.5,8.7768,0.0092761,0.0016582,0.00095744,0.0063878,0.0013991,0.0111,,0.214112,0.01531904
0.013572,0.66381,0.5,8.7768,-0.072654,-0.061915,1.0312,0.66381,0.5,8.7768,0.0093427,0.0017895,0.00082238,0.0064315,0.0013064,0.01137,,0.217152,0.01315808
0.013673,0.67207,0.5,8.7768,-0.072938,-0.057124,1.0285,0.67207,0.5,8.7768,0.0093079,0.0019725,0.0006134,0.0064822,0.0012531,0.011556,,0.218768,0.0098144
0.013836,0.68032,0.5,8.7768,-0.073054,-0.053092,1.0262,0.68032,0.5,8.7768,0.0092401,0.0022663,0.00047498,0.0068057,0.0011637,0.011626,,0.221376,0.00759968
0.013908,0.68858,0.5,8.7768,-0.073003,-0.050146,1.0231,0.68858,0.5,8.7768,0.0093009,0.0025741,0.00041211,0.0071158,0.00096282,0.0114,,0.222528,0.00659376
0.013978,0.69683,0.5,8.7768,-0.072591,-0.046996,1.0196,0.69683,0.5,8.7768,0.0095107,0.002838,0.00040036,0.0073683,0.00086151,0.011076,,0.223648,0.00640576
0.014316,0.70509,0.5,8.7768,-0.071671,-0.043397,1.0166,0.70509,0.5,8.7768,0.0098009,0.0031517,0.00035948,0.0078106,0.00092128,0.01102,,0.229056,0.00575168
0.014867,0.71335,0.5,8.7768,-0.07035,-0.039351,1.0137,0.71335,0.5,8.7768,0.010202,0.0034587,0.00033287,0.0083793,0.0010565,0.011153,,0.237872,0.00532592
0.015421,0.7216,0.5,8.7768,-0.068923,-0.035353,1.0111,0.7216,0.5,8.7768,0.010719,0.0037516,0.00039841,0.008877,0.001215,0.011246,,0.246736,0.00637456
0.015979,0.72986,0.5,8.7768,-0.067524,-0.032053,1.0101,0.72986,0.5,8.7768,0.011214,0.0040625,0.0004369,0.0093502,0.0013264,0.011395,,0.255664,0.0069904
0.016526,0.73811,0.5,8.7768,-0.065878,-0.029169,1.0096,0.73811,0.5,8.7768,0.01156,0.0042126,0.00063887,0.0099107,0.0014727,0.011582,,0.264416,0.01022192
0.017037,0.74637,0.5,8.7768,-0.063681,-0.026189,1.0074,0.74637,0.5,8.7768,0.011753,0.0042031,0.0010292,0.010467,0.0016864,0.011855,,0.272592,0.0164672
0.017568,0.75463,0.5,8.7768,-0.06095,-0.023206,1.005,0.75463,0.5,8.7768,0.011874,0.0043053,0.0014041,0.010942,0.0018887,0.012319,,0.281088,0.0224656
0.018146,0.76288,0.5,8.7768,-0.057761,-0.020666,1.003,0.76288,0.5,8.7768,0.012056,0.0046361,0.0018193,0.011395,0.0019599,0.012841,,0.290336,0.0291088
0.018823,0.77114,0.5,8.7768,-0.054262,-0.018411,1.0015,0.77114,0.5,8.7768,0.012439,0.0050828,0.0022953,0.012056,0.0019689,0.013151,,0.301168,0.0367248
0.019627,0.7794,0.5,8.7768,-0.050735,-0.015957,1.0002,0.7794,0.5,8.7768,0.013029,0.0055322,0.0027579,0.013008,0.0019814,0.013217,,0.314032,0.0441264
0.020565,0.78765,0.5,8.7768,-0.047256,-0.013664,0.99749,0.78765,0.5,8.7768,0.013657,0.0058571,0.0031698,0.013925,0.0020408,0.013546,,0.32904,0.0507168
0.021446,0.79591,0.5,8.7768,-0.043755,-0.012414,0.99362,0.79591,0.5,8.7768,0.014157,0.0060411,0.0036363,0.014611,0.002268,0.014124,,0.343136,0.0581808
0.022354,0.80416,0.5,8.7768,-0.040469,-0.011686,0.9893,0.80416,0.5,8.7768,0.014543,0.0062521,0.0041293,0.015251,0.0026255,0.014913,,0.357664,0.0660688
0.023335,0.81242,0.5,8.7768,-0.037682,-0.010747,0.98472,0.81242,0.5,8.7768,0.014871,0.0064386,0.0045686,0.015746,0.0031271,0.016053,,0.37336,0.0730976
0.024207,0.82068,0.5,8.7768,-0.035226,-0.0094681,0.97969,0.82068,0.5,8.7768,0.015076,0.0064472,0.0049455,0.01589,0.0035944,0.017449,,0.387312,0.079128
0.025258,0.82893,0.5,8.7768,-0.032613,-0.0079667,0.97386,0.82893,0.5,8.7768,0.015204,0.0064724,0.0052979,0.01612,0.0039783,0.019193,,0.404128,0.0847664
0.0039264,0.030909,0.5,8.7909,0.00061704,0.010076,0.86046,0.030909,0.5,8.7909,0.00031286,-7.44E-06,-0.00036002,0.00267,-0.00057447,0.0048699,,0.0628224,-0.00576032
0.0048632,0.066184,0.5,8.7909,0.0001614,0.008975,0.98198,0.066184,0.5,8.7909,0.00077455,7.61E-05,-0.00069945,0.0031633,-0.00060201,0.0057885,,0.0778112,-0.0111912
0.0042107,0.10006,0.5,8.7909,-0.0038317,0.0058614,1.0327,0.10006,0.5,8.7909,0.00096429,0.00015234,-0.00071219,0.0024984,-0.0003388,0.0049586,,0.0673712,-0.01139504
0.0032801,0.13258,0.5,8.7909,-0.010996,0.0031324,1.0724,0.13258,0.5,8.7909,0.00091481,0.00016293,-0.00051713,0.0017591,-0.00028767,0.0038862,,0.0524816,-0.00827408
0.002871,0.16379,0.5,8.7909,-0.017476,0.0027268,1.0981,0.16379,0.5,8.7909,0.00083472,0.00016483,-0.00031672,0.0013767,-0.00045128,0.0035305,,0.045936,-0.00506752
0.0028359,0.19372,0.5,8.7909,-0.0205,0.00077464,1.1077,0.19372,0.5,8.7909,0.00081497,0.00014244,-0.00026621,0.0010379,-0.00042364,0.0038189,,0.0453744,-0.00425936
0.0026082,0.22242,0.5,8.7909,-0.022007,-0.0052153,1.121,0.22242,0.5,8.7909,0.00086241,0.00017244,-0.00037343,0.00080666,-0.00031363,0.0035473,,0.0417312,-0.00597488
0.002092,0.24993,0.5,8.7909,-0.025057,-0.010541,1.1384,0.24993,0.5,8.7909,0.00091176,0.00016199,-0.00026996,0.00083518,-0.00031146,0.0024371,,0.033472,-0.00431936
0.0021238,0.27629,0.5,8.7909,-0.028426,-0.015521,1.1395,0.27629,0.5,8.7909,0.0009403,0.00015068,2.91E-05,0.0010061,-0.0003968,0.0023012,,0.0339808,0.000465888
0.0024494,0.30154,0.5,8.7909,-0.030611,-0.019368,1.1378,0.30154,0.5,8.7909,0.00099124,0.0002152,-9.46E-05,0.0011314,-0.00043831,0.0027762,,0.0391904,-0.001513552
0.0024121,0.32572,0.5,8.7909,-0.032588,-0.023451,1.147,0.32572,0.5,8.7909,0.0010379,0.00029029,-0.00020872,0.0012817,-0.0005086,0.0025045,,0.0385936,-0.00333952
0.0022016,0.34887,0.5,8.7909,-0.034996,-0.027657,1.1472,0.34887,0.5,8.7909,0.0011054,0.00034819,-5.61E-05,0.0013806,-0.00037685,0.0019172,,0.0352256,-0.000897008
0.0023798,0.37102,0.5,8.7909,-0.037399,-0.033069,1.1471,0.37102,0.5,8.7909,0.0012964,0.00039728,-8.26E-05,0.0013735,-0.0003534,0.0020898,,0.0380768,-0.00132104
0.0027292,0.39221,0.5,8.7909,-0.03933,-0.038146,1.1488,0.39221,0.5,8.7909,0.0015984,0.00041646,0.00022868,0.0013896,-0.00011982,0.0024704,,0.0436672,0.00365888
0.0032961,0.41248,0.5,8.7909,-0.041197,-0.043342,1.1454,0.41248,0.5,8.7909,0.0019284,0.00046537,0.00073572,0.0014965,0.00040921,0.0031672,,0.0527376,0.01177152
0.0040196,0.43187,0.5,8.7909,-0.0428,-0.049705,1.1328,0.43187,0.5,8.7909,0.0023207,0.00062632,0.0011511,0.0017294,0.00048003,0.0039891,,0.0643136,0.0184176
0.0046748,0.4504,0.5,8.7909,-0.043388,-0.053449,1.1132,0.4504,0.5,8.7909,0.0027356,0.00071635,0.0013574,0.0020675,0.00069834,0.0045464,,0.0747968,0.0217184
0.005131,0.46812,0.5,8.7909,-0.043819,-0.055565,1.1041,0.46812,0.5,8.7909,0.0031558,0.00066345,0.0014513,0.0023277,0.00074985,0.0047786,,0.082096,0.0232208
0.0055835,0.48504,0.5,8.7909,-0.045088,-0.058771,1.0907,0.48504,0.5,8.7909,0.0036788,0.00065976,0.0015275,0.0027193,0.00056754,0.0047688,,0.089336,0.02444
0.006498,0.50122,0.5,8.7909,-0.047007,-0.063583,1.0792,0.50122,0.5,8.7909,0.0042436,0.00082362,0.0016966,0.0032958,0.0006896,0.0054565,,0.103968,0.0271456
0.0072731,0.51667,0.5,8.7909,-0.049422,-0.068978,1.0708,0.51667,0.5,8.7909,0.0048127,0.0010067,0.0017756,0.0036653,0.00088009,0.0060681,,0.1163696,0.0284096
0.007857,0.53142,0.5,8.7909,-0.052025,-0.074053,1.0661,0.53142,0.5,8.7909,0.0053946,0.0011277,0.0015743,0.0039371,0.0010549,0.0063822,,0.125712,0.0251888
0.0084282,0.54551,0.5,8.7909,-0.054807,-0.078841,1.0633,0.54551,0.5,8.7909,0.0059366,0.0012961,0.0014681,0.0042954,0.001323,0.0066244,,0.1348512,0.0234896
0.0089001,0.55896,0.5,8.7909,-0.058001,-0.082753,1.0606,0.55896,0.5,8.7909,0.0064101,0.0014224,0.0013482,0.0046289,0.001527,0.0067612,,0.1424016,0.0215712
0.0094033,0.5718,0.5,8.7909,-0.06117,-0.084903,1.0573,0.5718,0.5,8.7909,0.0068088,0.0013322,0.0011238,0.004971,0.0015353,0.0070268,,0.1504528,0.0179808
0.0098002,0.58405,0.5,8.7909,-0.064136,-0.087012,1.0554,0.58405,0.5,8.7909,0.0071561,0.0011569,0.00090692,0.0051917,0.0013895,0.0072525,,0.1568032,0.01451072
0.01024,0.59575,0.5,8.7909,-0.066715,-0.087645,1.0534,0.59575,0.5,8.7909,0.0075144,0.0010885,0.00085539,0.0053669,0.0014375,0.0075997,,0.16384,0.01368624
