"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.075608,1.9833,0.5,8.7627,0.11957,0.026532,0.64715,1.9833,0.5,8.7627,0.066395,-0.019908,-0.016035,0.033833,0.0021693,0.050989
0.076564,1.9988,0.5,8.7627,0.11421,0.029254,0.65766,1.9988,0.5,8.7627,0.066821,-0.020811,-0.016074,0.034348,0.0026994,0.051958
0.077003,2.0149,0.5,8.7627,0.10995,0.032092,0.6696,2.0149,0.5,8.7627,0.066876,-0.021404,-0.016027,0.034455,0.0028567,0.052676
0.076598,2.0319,0.5,8.7627,0.10211,0.037812,0.67767,2.0319,0.5,8.7627,0.066159,-0.020825,-0.017158,0.034635,0.0028731,0.052401
0.075493,2.0496,0.5,8.7627,0.090331,0.042442,0.68407,2.0496,0.5,8.7627,0.064668,-0.019465,-0.019709,0.034641,0.0035294,0.051676
0.074814,2.0681,0.5,8.7627,0.080418,0.043852,0.70071,2.0681,0.5,8.7627,0.063757,-0.018661,-0.021633,0.034485,0.0050023,0.051386
0.074208,2.0875,0.5,8.7627,0.072964,0.042845,0.72203,2.0875,0.5,8.7627,0.063889,-0.019195,-0.023011,0.034643,0.0063735,0.049883
0.072777,2.1078,0.5,8.7627,0.06546,0.040866,0.74309,2.1078,0.5,8.7627,0.064364,-0.019852,-0.023847,0.033977,0.006948,0.047214
0.07239,2.129,0.5,8.7627,0.058978,0.039613,0.76947,2.129,0.5,8.7627,0.064498,-0.020571,-0.023816,0.033874,0.0074066,0.046408
0.071289,2.1511,0.5,8.7627,0.052972,0.036243,0.79807,2.1511,0.5,8.7627,0.063717,-0.021233,-0.024277,0.032636,0.0065552,0.046225
0.068012,2.1743,0.5,8.7627,0.046566,0.031613,0.83182,2.1743,0.5,8.7627,0.062021,-0.020325,-0.023404,0.029712,0.0053441,0.04429
0.064934,2.1984,0.5,8.7627,0.041351,0.028269,0.87757,2.1984,0.5,8.7627,0.060003,-0.017972,-0.021806,0.028533,0.0053583,0.041332
0.061786,2.2237,0.5,8.7627,0.037054,0.022654,0.92699,2.2237,0.5,8.7627,0.056891,-0.01537,-0.020806,0.02714,0.0055412,0.039542
0.057753,2.2501,0.5,8.7627,0.03238,0.01694,0.9719,2.2501,0.5,8.7627,0.052064,-0.013719,-0.019913,0.024298,0.0055121,0.039144
