
35001 -1.1121591e-01 -3.2594371e-02 1.1879069e+00 5.6523470e-01 -1.1121583e-01 -3.2594371e-02 1.1879069e+00 9.4214560e+00 -1.6022078e+00 1.1435543e+00
35002 -1.1024518e-01 -3.0657008e-02 1.1879667e+00 8.5193816e-01 -1.1024511e-01 -3.0657008e-02 1.1879667e+00 9.4108792e+00 -1.3297450e+00 1.0788235e+00
35003 -1.0948255e-01 -2.8728687e-02 1.1879169e+00 6.1186243e-01 -1.0948247e-01 -2.8728687e-02 1.1879169e+00 9.3881375e+00 -1.0449370e+00 1.0154729e+00
35004 -1.0899233e-01 -2.6821785e-02 1.1877833e+00 1.9064525e-01 -1.0899225e-01 -2.6821785e-02 1.1877833e+00 9.3532574e+00 -7.4974776e-01 9.5358667e-01
35005 -1.0873844e-01 -2.4942226e-02 1.1876028e+00 -2.7204957e-02 -1.0873837e-01 -2.4942226e-02 1.1876028e+00 9.3063031e+00 -4.4618362e-01 8.9323034e-01
35006 -1.0866855e-01 -2.3095729e-02 1.1873654e+00 -7.3998798e-02 -1.0866847e-01 -2.3095729e-02 1.1873654e+00 9.2473668e+00 -1.3628061e-01 8.3447304e-01
35007 -1.0875861e-01 -2.1286491e-02 1.1870468e+00 -4.1392920e-02 -1.0875854e-01 -2.1286491e-02 1.1870468e+00 9.1765972e+00 1.7785457e-01 7.7738414e-01
35008 -1.0901662e-01 -1.9518774e-02 1.1866331e+00 -1.7847706e-03 -1.0901654e-01 -1.9518774e-02 1.1866331e+00 9.0941979e+00 4.9407989e-01 7.2203077e-01
35009 -1.0946149e-01 -1.7797114e-02 1.1861275e+00 1.1639477e-02 -1.0946141e-01 -1.7797114e-02 1.1861275e+00 9.0004248e+00 8.1024709e-01 6.6847375e-01
35010 -1.1009782e-01 -1.6126170e-02 1.1855376e+00 7.7459300e-03 -1.1009775e-01 -1.6126170e-02 1.1855376e+00 8.8955804e+00 1.1242229e+00 6.1676746e-01
35011 -1.1092091e-01 -1.4510199e-02 1.1848671e+00 -1.9846025e-05 -1.1092083e-01 -1.4510199e-02 1.1848671e+00 8.7800118e+00 1.4338974e+00 5.6696365e-01
35012 -1.1192512e-01 -1.2953107e-02 1.1841168e+00 -4.5659689e-03 -1.1192504e-01 -1.2953107e-02 1.1841168e+00 8.6541099e+00 1.7371946e+00 5.1911334e-01
35013 -1.1310556e-01 -1.1458371e-02 1.1832870e+00 -4.9661134e-03 -1.1310549e-01 -1.1458371e-02 1.1832870e+00 8.5183085e+00 2.0320863e+00 4.7326721e-01
35014 -1.1445684e-01 -1.0029301e-02 1.1823789e+00 -3.6943022e-03 -1.1445677e-01 -1.0029301e-02 1.1823789e+00 8.3730814e+00 2.3166065e+00 4.2947610e-01
